fieldsite,clean_response1,clean_response2,response_site1,response_site2,slow1,slow2,date,collect_time
marina_res,social,antitask,marina,castro,,,11/19/2025,15:10:17
marina_res,transplant,colorful,marina,castro,,,11/19/2025,15:10:35
marina_res,ehhh,better,marina,castro,,,11/19/2025,15:11:20
marina_res,energetic,vibrant,marina,castro,,,11/19/2025,15:11:55
marina_res,buzzy,spicy,marina,castro,0.0,1.0,11/19/2025,15:14:31
marina_res,affluent,gay,marina,castro,0.0,1.0,11/19/2025,15:15:39
marina_res,eclectic,fun,marina,castro,,,11/19/2025,15:15:41
marina_res,terrifying,sad,marina,castro,,,11/19/2025,15:17:15
marina_res,active,friendly,marina,castro,0.0,1.0,11/19/2025,15:18:02
marina_res,walkable,antitask,marina,castro,,,11/19/2025,15:18:57
marina_res,unhinged,fun,marina,castro,,,11/19/2025,15:20:09
marina_res,privileged,gay,marina,castro,,,11/19/2025,15:20:45
marina_res,flat,antitask,marina,castro,,,11/19/2025,15:22:22
marina_res,,,marina,castro,,,11/19/2025,15:23:24
marina_res,lovely,antitask,marina,castro,,,11/19/2025,15:24:23
marina_res,lively,antitask,marina,castro,,,11/19/2025,15:25:22
marina_res,privileged,vibrant,marina,castro,,,11/19/2025,15:25:24
marina_res,restaurants,antitask,marina,castro,0.0,1.0,11/19/2025,15:27:05
marina_res,central,antitask,marina,castro,,,11/19/2025,15:29:49
marina_res,,,marina,castro,,,11/19/2025,15:30:34
marina_res,pleasant,gay,marina,castro,,,11/19/2025,15:31:38
marina_res,attractive,gay,marina,castro,1.0,0.0,11/19/2025,15:33:04
marina_res,simple,not_exciting,marina,castro,,,11/19/2025,15:37:31
marina_res,safe,gay,marina,castro,,,11/19/2025,15:38:06
marina_res,hip,lively,marina,castro,,,11/19/2025,15:39:06
marina_res,vibey,antitask,marina,castro,,,11/19/2025,15:40:33
marina_res,families,antitask,marina,castro,,,11/19/2025,15:40:51
marina_res,bubble,fun,marina,castro,,,11/19/2025,15:41:32
marina_res,frat,fruity,marina,castro,,,11/19/2025,15:41:52
marina_res,nannies,antitask,marina,castro,,,11/19/2025,15:45:14
marina_res,homogenous,alive,marina,castro,,,11/19/2025,15:45:29
marina_res,awesome,great,marina,castro,,,11/19/2025,15:46:37
marina_res,flat,gay,marina,castro,,,11/19/2025,15:47:24
marina_res,pleasant,antitask,marina,castro,,,11/19/2025,15:47:51
marina_res,beautiful,lively,marina,castro,1.0,0.0,11/19/2025,15:49:19
mission_res,extravagant,gay,mission,castro,,,11/11/2025,14:41:44
mission_res,fake,gay,mission,castro,,,11/11/2025,14:43:42
mission_res,chaotic,fun,mission,castro,,,11/11/2025,14:44:20
mission_res,enjoyable,farther,mission,castro,,,11/11/2025,14:45:22
mission_res,,,mission,castro,1.0,0.0,11/11/2025,14:46:57
mission_res,character,gay,mission,castro,,,11/11/2025,14:47:08
mission_res,diverse,gay,mission,castro,1.0,0.0,11/11/2025,14:48:37
mission_res,robust,gay,mission,castro,1.0,0.0,11/11/2025,14:49:52
mission_res,peligroso,bonito,mission,castro,,,11/11/2025,14:50:39
mission_res,tight,colorful,mission,castro,1.0,0.0,11/11/2025,14:51:19
mission_res,,,mission,castro,,,11/11/2025,14:51:50
mission_res,colorful,spanky,mission,castro,,,11/11/2025,14:52:40
mission_res,amazing,fun,mission,castro,0.0,1.0,11/11/2025,14:55:43
mission_res,colorful,rainbow,mission,castro,,,11/11/2025,14:55:50
mission_res,vibrant,exciting,mission,castro,1.0,0.0,11/11/2025,14:56:01
mission_res,lively,colorful,mission,castro,1.0,0.0,11/11/2025,14:58:28
mission_res,vibrant,poppin,mission,castro,,,11/11/2025,14:59:11
mission_res,dichotomy,fun,mission,castro,,,11/11/2025,15:00:49
mission_res,flags,queer,mission,castro,1.0,0.0,11/11/2025,15:01:28
mission_res,creative,antitask,mission,castro,,,11/11/2025,15:03:34
mission_res,interesting,different,mission,castro,1.0,0.0,11/11/2025,15:04:02
mission_res,authentic,liberating,mission,castro,,,11/11/2025,15:04:53
mission_res,beautiful,gorgeous,mission,castro,,,11/11/2025,15:05:25
mission_res,edge,love,mission,castro,0.0,1.0,11/11/2025,15:06:18
mission_res,home,lively,mission,castro,0.0,1.0,11/11/2025,15:06:23
mission_res,eclectic,shiny,mission,castro,,,11/11/2025,15:08:17
mission_res,sunny,colorful,mission,castro,,,11/11/2025,15:08:54
mission_res,hispanic,gay,mission,castro,,,11/11/2025,15:09:33
mission_res,cosmopolitan,gay,mission,castro,,,11/11/2025,15:09:56
mission_res,eclectic,antitask,mission,castro,,,11/11/2025,15:11:00
mission_res,,,mission,castro,,,11/11/2025,15:12:34
mission_res,amazing,cool,mission,castro,,,11/11/2025,15:13:41
mission_res,diverse,gay,mission,castro,0.0,1.0,11/11/2025,15:14:45
mission_res,eclectic,open,mission,castro,1.0,0.0,11/11/2025,15:15:09
mission_res,flavorful,party,mission,castro,,,11/11/2025,15:16:25
mission_res,,,mission,castro,,,11/11/2025,15:17:18
mission_res,heritage,legacy,mission,castro,,,11/11/2025,15:19:51
mission_res,gentrified,transplants,mission,castro,,,11/11/2025,15:21:14
mission_res,hispanic,drugs,mission,castro,0.0,1.0,11/11/2025,15:22:20
mission_res,beautiful,gay,mission,castro,1.0,0.0,11/11/2025,15:25:04
mission_res,,,mission,castro,,,11/11/2025,15:26:01
mission_res,chill,hectic,mission,castro,,,11/11/2025,15:28:46
mission_res,vibrant,exuberant,mission,castro,,,11/11/2025,15:30:57
mission_res,,,mission,castro,,,11/11/2025,15:36:33
mission_res,wonderful,different,mission,castro,,,11/11/2025,15:37:13
mission_res,fun,clean,mission,castro,0.0,1.0,11/11/2025,15:37:23
mission_res,community,historic,mission,castro,,,11/11/2025,15:38:12
mission_res,unique,diverse,mission,castro,0.0,1.0,11/11/2025,15:39:16
mission_res,gritty,rainbow,mission,castro,1.0,0.0,11/11/2025,15:40:07
mission_res,latino,gender,mission,castro,,,11/11/2025,15:42:45
mission_res,,,mission,castro,,,11/11/2025,15:44:14
mission_res,colorful,trendier,mission,castro,,,11/11/2025,15:45:44
mission_res,diverse,exciting,mission,castro,,,11/11/2025,15:46:07
mission_res,latino,especial,mission,castro,0.0,1.0,11/11/2025,15:48:21
mission_res,home,close,mission,castro,,,11/11/2025,15:48:50
mission_res,eclectic,gay,mission,castro,,,11/11/2025,15:49:48
mission_res,eclectic,vibrant,mission,castro,,,11/11/2025,15:50:22
mission_res,latino,community,mission,castro,,,11/11/2025,15:51:30
mission_res,complicated,vibrant,mission,castro,0.0,1.0,11/11/2025,15:52:25
mission_res,,,mission,castro,1.0,0.0,11/11/2025,15:53:26
mission_res,colorful,festive,mission,castro,1.0,0.0,11/11/2025,15:55:06
mission_res,latino,gay,mission,castro,,,11/11/2025,15:55:14
mission_res,culture,colorful,mission,castro,1.0,0.0,11/11/2025,15:56:02
mission_res,pretty,nice,mission,castro,,,11/11/2025,15:56:47
mission_res,awesome,fun,mission,castro,0.0,1.0,11/11/2025,15:57:49
mission_res,vibrant,eclectic,mission,castro,,,11/11/2025,15:58:08
mission_res,fun,funner,mission,castro,,,11/11/2025,15:58:51
mission_res,sucio,tranquilo,mission,castro,0.0,1.0,11/11/2025,15:59:00
mission_res,expansive,gay,mission,castro,,,11/11/2025,15:59:47
mission_res,eclectic,colorful,mission,castro,,,11/11/2025,16:01:27
mission_res,,,mission,castro,,,11/11/2025,16:02:05
mission_res,diverse,fun,mission,castro,,,11/11/2025,16:03:12
mission_res,latino,comunidad,mission,castro,0.0,1.0,11/11/2025,16:04:16
mission_res,beautiful,stunning,mission,castro,,,11/11/2025,16:05:02
mission_res,vibrant,dying,mission,castro,,,11/11/2025,16:05:42
mission_res,eclectic,friendly,mission,castro,,,11/11/2025,16:06:20
mission_res,vibrant,gay,mission,castro,,,11/11/2025,16:06:40
mission_res,,,mission,castro,0.0,1.0,11/11/2025,16:08:51
mission_res,mexican,naked,mission,castro,0.0,1.0,11/11/2025,16:09:33
mission_res,home,alive,mission,castro,1.0,0.0,11/11/2025,16:10:15
mission_res,vibrant,community,mission,castro,,,11/11/2025,16:10:45
mission_res,artistic,quiet,mission,castro,,,11/11/2025,16:12:57
mission_res,vibrant,dynamic,mission,castro,,,11/11/2025,16:14:43
mission_res,dynamic,gay,mission,castro,,,11/11/2025,16:14:53
marina_res,gay,preppy,castro,marina,,,11/17/2025,16:41:36
marina_res,lively,yuppie,castro,marina,1.0,0.0,11/17/2025,16:42:35
marina_res,pride,water,castro,marina,,,11/17/2025,16:43:02
marina_res,pride,meh,castro,marina,,,11/17/2025,16:45:53
marina_res,lively,approachable,castro,marina,,,11/17/2025,16:47:10
marina_res,,,castro,marina,,,11/17/2025,16:47:36
marina_res,fun,work,castro,marina,,,11/17/2025,16:48:08
marina_res,gay,white,castro,marina,,,11/17/2025,16:48:31
marina_res,lit,fun,castro,marina,,,11/17/2025,16:48:58
marina_res,gay,white,castro,marina,,,11/17/2025,16:50:22
marina_res,nada,dinero,castro,marina,,,11/17/2025,16:51:17
marina_res,soulcycle,marina_meats,castro,marina,0.0,1.0,11/17/2025,16:52:17
marina_res,beautiful,change,castro,marina,,,11/17/2025,16:53:27
marina_res,rainbow,frat,castro,marina,1.0,0.0,11/17/2025,16:55:47
marina_res,hippies,young,castro,marina,,,11/17/2025,16:56:45
marina_res,fun,bustling,castro,marina,,,11/17/2025,17:00:09
marina_res,homosexuales,tourists,castro,marina,,,11/17/2025,17:01:40
marina_res,gay,frat,castro,marina,,,11/17/2025,17:02:08
marina_res,colors,young,castro,marina,,,11/17/2025,17:03:00
marina_res,theater,yuppie,castro,marina,0.0,1.0,11/17/2025,17:04:34
marina_res,gay,boujee,castro,marina,,,11/17/2025,17:05:27
marina_res,antitask,best,castro,marina,,,11/17/2025,17:07:37
marina_res,,,castro,marina,,,11/17/2025,17:09:16
marina_res,vibrant,water,castro,marina,,,11/17/2025,17:09:55
marina_res,gay,college,castro,marina,,,11/17/2025,17:10:52
marina_res,gay,rich,castro,marina,,,11/17/2025,17:12:52
marina_res,mission,gentrified,castro,marina,1.0,0.0,11/17/2025,17:15:08
marina_res,pride,peace,castro,marina,,,11/17/2025,17:17:53
marina_res,fun,less_fun,castro,marina,,,11/17/2025,17:18:43
marina_res,party,white,castro,marina,,,11/17/2025,17:20:07
marina_res,theater,restaurants,castro,marina,,,11/17/2025,17:21:13
marina_res,theater,chestnut,castro,marina,,,11/17/2025,17:22:02
marina_res,party,bars,castro,marina,0.0,1.0,11/17/2025,17:27:17
marina_res,gay,privileged,castro,marina,,,11/17/2025,17:28:32
marina_res,gay,hot_girls,castro,marina,0.0,1.0,11/17/2025,17:33:27
marina_res,dead,great,castro,marina,,,11/17/2025,17:39:06
marina_res,gay,bro,castro,marina,,,11/17/2025,17:40:22
marina_res,brother,live,castro,marina,,,11/17/2025,17:45:20
marina_res,gay,white,castro,marina,,,11/17/2025,17:46:05
marina_res,gay,antitask,castro,marina,,,11/17/2025,17:48:01
marina_res,gay,douchey,castro,marina,,,11/17/2025,17:58:41
marina_res,architecture,active,castro,marina,,,11/19/2025,15:51:47
marina_res,unknown,visited,castro,marina,,,11/19/2025,15:55:19
marina_res,gay,frat,castro,marina,,,11/19/2025,16:00:00
marina_res,gay,la,castro,marina,,,11/19/2025,16:01:50
marina_res,personality,cozy,castro,marina,1.0,0.0,11/19/2025,16:02:46
marina_res,fun,young,castro,marina,,,11/19/2025,16:05:46
marina_res,gay,white,castro,marina,,,11/19/2025,16:10:17
marina_res,fun,safe,castro,marina,,,11/19/2025,16:13:24
marina_res,antitask,bougie,castro,marina,,,11/19/2025,16:18:19
marina_res,gay,affluent,castro,marina,,,11/19/2025,16:20:44
marina_res,gay,preppy,castro,marina,,,11/19/2025,16:22:13
marina_res,gay,wealthy,castro,marina,,,11/19/2025,16:23:17
marina_res,flamboyant,preppy,castro,marina,,,11/19/2025,16:24:01
marina_res,fun,different,castro,marina,,,11/19/2025,16:24:38
marina_res,vibrant,young,castro,marina,,,11/19/2025,16:25:16
marina_res,diverse,safe,castro,marina,,,11/19/2025,16:27:57
marina_res,fun,basic,castro,marina,,,11/19/2025,16:29:44
marina_res,gay,preppy,castro,marina,,,11/19/2025,16:30:04
marina_res,vibrant,straight,castro,marina,,,11/19/2025,16:31:05
marina_res,vibrant,comfortable,castro,marina,,,11/19/2025,16:31:18
marina_res,,,castro,marina,,,11/19/2025,16:35:19
marina_res,antitask,ocean,castro,marina,,,11/19/2025,16:36:18
marina_res,fun,trendy,castro,marina,0.0,1.0,11/19/2025,16:38:20
marina_res,antitask,nice,castro,marina,,,11/19/2025,16:39:08
marina_res,,,castro,marina,,,11/19/2025,16:41:52
marina_res,fun,bustling,castro,marina,,,11/19/2025,16:42:31
marina_res,antitask,friendly,castro,marina,,,11/19/2025,16:43:44
marina_res,fun,young,castro,marina,,,11/19/2025,16:45:00
marina_res,fun,water,castro,marina,0.0,1.0,11/19/2025,16:48:33
marina_res,gay,tech,castro,marina,,,11/19/2025,16:51:02
marina_res,antitask,bubbly,castro,marina,,,11/19/2025,16:54:58
marina_res,fun,beautiful,castro,marina,,,11/19/2025,16:56:59
castro_vis,fun,gross,castro,marina,,,11/14/2025,21:40:18
castro_vis,fun,residential,castro,marina,,,11/14/2025,22:28:01
castro_vis,undefined,yuppie,castro,marina,,,11/14/2025,22:32:43
castro_vis,lively,white,castro,marina,,,11/14/2025,22:41:03
castro_vis,alive,chill,castro,marina,,,11/14/2025,22:41:48
castro_vis,lively,plain,castro,marina,,,11/14/2025,22:43:12
castro_vis,espectaculo,españa,castro,marina,,,11/14/2025,22:44:25
castro_vis,declining,unbeknownst,castro,marina,,,11/14/2025,22:44:29
castro_vis,gay,wet,castro,marina,,,11/14/2025,22:45:06
castro_vis,fun,unfun,castro,marina,,,11/14/2025,22:45:10
castro_vis,friendly,tourists,castro,marina,,,11/14/2025,22:45:43
castro_vis,tolerant,less_tolerant,castro,marina,,,11/14/2025,22:46:04
castro_vis,gay,rich,castro,marina,,,11/14/2025,22:46:20
castro_vis,zesty,unseasoned,castro,marina,0.0,1.0,11/14/2025,22:46:53
castro_vis,great,sorority,castro,marina,,,11/14/2025,22:47:24
castro_vis,fun,beautiful,castro,marina,,,11/14/2025,22:49:49
castro_vis,underwhelming,tourists,castro,marina,,,11/14/2025,22:49:54
castro_vis,gay,posh,castro,marina,,,11/14/2025,22:50:21
castro_vis,gay,straight,castro,marina,,,11/14/2025,22:50:43
castro_vis,fun,boring,castro,marina,,,11/14/2025,22:50:56
castro_vis,fun,racist,castro,marina,,,11/14/2025,22:51:29
castro_vis,hilly,flat,castro,marina,,,11/14/2025,22:51:41
castro_vis,gay,white,castro,marina,,,11/14/2025,22:52:03
castro_vis,iconic,bro,castro,marina,,,11/14/2025,22:52:49
castro_vis,gay,bro,castro,marina,,,11/14/2025,22:53:14
castro_vis,gay,white,castro,marina,,,11/14/2025,22:53:24
castro_vis,gay,basic,castro,marina,,,11/14/2025,22:54:02
castro_vis,love,antitask,castro,marina,,,11/14/2025,22:54:28
castro_vis,crazy,horrible,castro,marina,,,11/14/2025,22:54:32
castro_vis,gay,rich,castro,marina,,,11/14/2025,22:55:08
castro_vis,gay,bonito,castro,marina,,,11/14/2025,22:56:02
castro_vis,wonderful,antitask,castro,marina,,,11/14/2025,22:56:19
castro_vis,,,castro,marina,,,11/14/2025,22:56:29
castro_vis,gay,tech,castro,marina,,,11/14/2025,22:57:37
castro_vis,home,ghetto,castro,marina,,,11/14/2025,22:58:11
castro_vis,flamboyant,happy,castro,marina,,,11/14/2025,22:59:23
castro_vis,community,bro,castro,marina,,,11/14/2025,23:00:10
castro_vis,joy,snarky,castro,marina,,,11/14/2025,23:01:49
castro_vis,unique,peaceful,castro,marina,,,11/14/2025,23:02:09
castro_vis,perfect,straight,castro,marina,,,11/14/2025,23:02:35
castro_vis,messy,sterile,castro,marina,,,11/14/2025,23:03:06
castro_vis,gay,straight,castro,marina,,,11/14/2025,23:04:48
castro_vis,gay,white,castro,marina,,,11/14/2025,23:05:18
castro_vis,fabulous,posh,castro,marina,,,11/14/2025,23:06:13
castro_vis,cunt,gentrified,castro,marina,,,11/14/2025,23:07:41
castro_vis,faggy,tech,castro,marina,,,11/14/2025,23:07:53
castro_vis,gay,straight,castro,marina,,,11/14/2025,23:10:43
castro_vis,gay,snooty,castro,marina,,,11/14/2025,23:10:48
castro_vis,gay,straight,castro,marina,,,11/14/2025,23:11:47
castro_vis,home,ivy,castro,marina,,,11/14/2025,23:11:56
castro_vis,gay,lame,castro,marina,,,11/14/2025,23:12:48
castro_vis,fun,bro,castro,marina,,,11/14/2025,23:12:52
castro_vis,fun,bougie,castro,marina,,,11/14/2025,23:13:36
castro_vis,festive,grovel,castro,marina,,,11/14/2025,23:14:03
castro_vis,camp,fake,castro,marina,,,11/14/2025,23:14:17
castro_vis,chaotic,fratboys,castro,marina,,,11/14/2025,23:15:42
castro_vis,big,antitask,castro,marina,,,11/14/2025,23:15:42
castro_vis,messy,posh,castro,marina,,,11/14/2025,23:16:26
castro_vis,beautiful,amazing,castro,marina,,,11/14/2025,23:16:36
castro_vis,effervescent,bad,castro,marina,1.0,0.0,11/14/2025,23:18:06
castro_vis,gay,straight,castro,marina,,,11/14/2025,23:18:58
castro_vis,fantastic,boo,castro,marina,,,11/14/2025,23:19:01
castro_vis,lively,young,castro,marina,,,11/14/2025,23:19:56
castro_vis,chaotic,stupid,castro,marina,,,11/14/2025,23:20:25
castro_vis,crazy,drunk,castro,marina,,,11/14/2025,23:21:59
castro_vis,whacky,barbie,castro,marina,,,11/14/2025,23:22:48
castro_vis,gay,waterside,castro,marina,,,11/14/2025,23:22:51
castro_vis,gay,fun,castro,marina,,,11/14/2025,23:23:28
castro_vis,sleepy,bougie,castro,marina,,,11/14/2025,23:25:01
castro_vis,approachable,frat,castro,marina,,,11/14/2025,23:25:17
castro_vis,gay,white,castro,marina,,,11/14/2025,23:26:08
castro_vis,fun,boring,castro,marina,,,11/14/2025,23:26:59
castro_vis,palimpsest,antediluvian,castro,marina,,,11/14/2025,23:27:13
castro_vis,quaint,lazy,castro,marina,,,11/14/2025,23:28:03
castro_vis,fun,snobby,castro,marina,,,11/14/2025,23:28:35
castro_vis,vibrant,white,castro,marina,,,11/14/2025,23:29:07
castro_vis,boring,antitask,castro,marina,,,11/14/2025,23:30:36
castro_vis,gay,view,castro,marina,,,11/14/2025,23:31:20
castro_vis,gay,white,castro,marina,,,11/14/2025,23:32:09
castro_vis,gay,straight,castro,marina,,,11/14/2025,23:32:53
mission_res,,,castro,mission,,,11/14/2025,11:14:32
mission_res,fun,active,castro,mission,0.0,1.0,11/14/2025,11:19:34
mission_res,gay,hood,castro,mission,,,11/14/2025,11:19:50
mission_res,large,spread,castro,mission,,,11/14/2025,11:20:31
mission_res,,,castro,mission,,,11/14/2025,11:21:12
mission_res,rainbow,culture,castro,mission,,,11/14/2025,11:22:58
