index,response,clean_response,fieldsite,response_site,participants,date,collect_time,slow,order,pair_id,category
50,gay,gay,castro_res,castro,res,11/14/2025,16:23:56,1.0,1,25,gay
51,money,money,castro_res,marina,res,11/14/2025,16:23:56,0.0,2,25,gentrified
52,cool,cool,castro_res,castro,res,11/14/2025,16:25:32,0.0,1,26,nice
53,expensive,expensive,castro_res,marina,res,11/14/2025,16:25:32,0.0,2,26,gentrified
54,i_don’t_know,antitask,castro_res,marina,res,11/14/2025,16:26:38,0.0,2,27,antitask
55,vibrant,vibrant,castro_res,castro,res,11/14/2025,16:26:38,0.0,1,27,fun
56,idk_there's_a_lot_of_cool_restaurants_there_id_say_hip,restaurants,castro_res,marina,res,11/14/2025,16:26:39,1.0,2,28,other
57,gay,gay,castro_res,castro,res,11/14/2025,16:26:39,0.0,1,28,gay
58,fun,fun,castro_res,castro,res,11/14/2025,16:28:04,0.0,1,29,fun
59,rich,rich,castro_res,marina,res,11/14/2025,16:28:04,0.0,2,29,gentrified
60,great,great,castro_res,castro,res,11/14/2025,16:28:12,0.0,1,30,fun
61,white,white,castro_res,marina,res,11/14/2025,16:28:12,0.0,2,30,normative
62,not_pretty_sure,antitask,castro_res,marina,res,11/14/2025,16:28:45,0.0,2,31,antitask
63,fantastic,fantastic,castro_res,castro,res,11/14/2025,16:28:45,0.0,1,31,fun
64,“no_word”,antitask,castro_res,marina,res,11/14/2025,16:29:58,0.0,2,32,antitask
65,bizarre,bizarre,castro_res,castro,res,11/14/2025,16:29:58,0.0,1,32,special
66,young_people?,young,castro_res,marina,res,11/14/2025,16:30:11,1.0,2,33,young
67,community,community,castro_res,castro,res,11/14/2025,16:30:11,0.0,1,33,community
68,home,home,castro_res,castro,res,11/14/2025,16:30:52,0.0,1,34,community
69,fishy,fishy,castro_res,marina,res,11/14/2025,16:30:52,1.0,2,34,normative
70,gay,gay,castro_res,castro,res,11/14/2025,16:32:19,0.0,1,35,gay
71,snotty,snotty,castro_res,marina,res,11/14/2025,16:32:19,1.0,2,35,gentrified
72,i_never_go_there,antitask,castro_res,marina,res,11/14/2025,16:33:00,0.0,2,36,antitask
73,vibrant,vibrant,castro_res,castro,res,11/14/2025,16:33:00,0.0,1,36,fun
74,happy,happy,castro_res,castro,res,11/14/2025,16:33:26,0.0,1,37,nice
75,tragic,tragic,castro_res,marina,res,11/14/2025,16:33:26,0.0,2,37,bad
76,(just_one?)_predictable,predictable,castro_res,castro,res,11/14/2025,16:33:45,0.0,1,38,normative
77,dull,dull,castro_res,marina,res,11/14/2025,16:33:45,0.0,2,38,boring
78,not_community,not_community,castro_res,marina,res,11/14/2025,16:38:15,0.0,2,39,other
79,community,community,castro_res,castro,res,11/14/2025,16:38:15,0.0,1,39,community
80,college_kids,college,castro_res,marina,res,11/14/2025,16:38:16,1.0,2,40,young
81,gay,gay,castro_res,castro,res,11/14/2025,16:38:16,0.0,1,40,gay
82,more_fake,fake,castro_res,marina,res,11/14/2025,16:39:00,0.0,2,41,bad
83,fake,fake,castro_res,castro,res,11/14/2025,16:39:00,0.0,1,41,bad
84,far_away,far,castro_res,marina,res,11/14/2025,16:39:13,1.0,2,42,geography
85,home,home,castro_res,castro,res,11/14/2025,16:39:13,0.0,1,42,community
86,warm,warm,castro_res,castro,res,11/14/2025,16:39:37,0.0,1,43,nice
87,cold,cold,castro_res,marina,res,11/14/2025,16:39:37,0.0,2,43,boring
88,beautiful,beautiful,castro_res,castro,res,11/14/2025,16:41:08,0.0,1,44,nice
89,beautiful,beautiful,castro_res,marina,res,11/14/2025,16:41:08,0.0,2,44,nice
90,mixed_bag,eclectic,castro_res,castro,res,11/14/2025,16:41:28,0.0,1,45,special
91,posh,posh,castro_res,marina,res,11/14/2025,16:41:28,1.0,2,45,gentrified
92,home,home,castro_res,castro,res,11/14/2025,16:44:22,1.0,1,46,community
93,toxic,toxic,castro_res,marina,res,11/14/2025,16:44:22,1.0,2,46,bad
94,a_bunch_of_conformists,conformist,castro_res,marina,res,11/14/2025,16:45:21,1.0,2,47,normative
95,friendly,friendly,castro_res,castro,res,11/14/2025,16:45:21,0.0,1,47,other
96,vibrant,vibrant,castro_res,castro,res,11/14/2025,16:45:23,1.0,1,48,fun
97,snotty,snotty,castro_res,marina,res,11/14/2025,16:45:23,0.0,2,48,gentrified
98,gay,gay,castro_res,castro,res,11/14/2025,16:46:04,0.0,1,49,gay
99,boring,boring,castro_res,marina,res,11/14/2025,16:46:04,0.0,2,49,boring
100,sinking_in_the_water,sinking,castro_res,marina,res,11/14/2025,16:46:25,0.0,2,50,geography
101,home,home,castro_res,castro,res,11/14/2025,16:46:25,0.0,1,50,community
102,community,community,castro_res,castro,res,11/14/2025,16:47:23,0.0,1,51,community
103,busy,busy,castro_res,marina,res,11/14/2025,16:47:23,1.0,2,51,chaotic
104,old,old,castro_res,castro,res,11/14/2025,16:50:01,0.0,1,52,other
105,cold,cold,castro_res,marina,res,11/14/2025,16:50:01,0.0,2,52,boring
106,fun,fun,castro_res,castro,res,11/14/2025,16:50:05,0.0,1,53,fun
107,na,na,castro_res,marina,res,11/14/2025,16:50:05,0.0,2,53,antitask
108,lively,lively,castro_res,castro,res,11/14/2025,16:51:48,0.0,1,54,fun
109,slutty,slutty,castro_res,marina,res,11/14/2025,16:51:48,1.0,2,54,sexual
110,colorful,colorful,castro_res,castro,res,11/14/2025,16:52:23,0.0,1,55,diverse
111,upscale,upscale,castro_res,marina,res,11/14/2025,16:52:23,0.0,2,55,gentrified
112,pleasant,pleasant,castro_res,castro,res,11/14/2025,16:52:28,0.0,1,56,nice
113,scenic,scenic,castro_res,marina,res,11/14/2025,16:52:28,1.0,2,56,other
114,interesting,interesting,castro_res,castro,res,11/14/2025,16:54:20,0.0,1,57,special
115,posh,posh,castro_res,marina,res,11/14/2025,16:54:20,1.0,2,57,gentrified
116,fun,fun,castro_res,castro,res,11/14/2025,16:54:28,0.0,1,58,fun
117,bougie,bougie,castro_res,marina,res,11/14/2025,16:54:28,0.0,2,58,gentrified
118,spanish_revival,architecture,castro_res,marina,res,11/14/2025,16:55:56,1.0,2,59,institutions
119,vibrant,vibrant,castro_res,castro,res,11/14/2025,16:55:56,0.0,1,59,fun
120,different,different,castro_res,castro,res,11/14/2025,16:57:09,0.0,1,60,diverse
121,yuppies,yuppie,castro_res,marina,res,11/14/2025,16:57:09,1.0,2,60,other
122,wonderful,wonderful,castro_res,castro,res,11/14/2025,16:58:26,0.0,1,61,fun
123,posh,posh,castro_res,marina,res,11/14/2025,16:58:26,0.0,2,61,gentrified
124,original,original,castro_res,castro,res,11/14/2025,16:58:31,0.0,1,62,special
125,beautiful,beautiful,castro_res,marina,res,11/14/2025,16:58:31,1.0,2,62,nice
126,vibrant,vibrant,castro_res,castro,res,11/14/2025,17:00:02,0.0,1,63,fun
127,preppies,preppies,castro_res,marina,res,11/14/2025,17:00:02,1.0,2,63,gentrified
128,vibrant,vibrant,castro_res,castro,res,11/14/2025,17:00:10,0.0,1,64,fun
129,no!,no!,castro_res,marina,res,11/14/2025,17:00:10,0.0,2,64,antitask
130,our_marina_is_better,antitask,castro_res,marina,res,11/14/2025,17:00:52,0.0,2,65,antitask
131,lively,lively,castro_res,castro,res,11/14/2025,17:00:52,0.0,1,65,fun
132,vibrant,vibrant,castro_res,castro,res,11/14/2025,17:00:55,0.0,1,66,fun
133,interesting,interesting,castro_res,marina,res,11/14/2025,17:00:55,1.0,2,66,special
134,i_have_no_idea,antitask,castro_res,marina,res,11/14/2025,17:01:58,1.0,2,67,antitask
135,education,education,castro_res,castro,res,11/14/2025,17:01:58,0.0,1,67,institutions
136,gay,gay,castro_res,castro,res,11/14/2025,17:02:42,0.0,1,68,gay
137,raw,raw,castro_res,marina,res,11/14/2025,17:02:42,0.0,2,68,gritty
138,i_don’t_know,antitask,castro_res,marina,res,11/14/2025,17:03:22,0.0,2,69,antitask
139,fun,fun,castro_res,castro,res,11/14/2025,17:03:22,0.0,1,69,fun
140,cute,cute,castro_res,castro,res,11/14/2025,17:03:38,0.0,1,70,nice
141,bro-y,bro-y,castro_res,marina,res,11/14/2025,17:03:38,1.0,2,70,normative
142,(hahahahhaha)_gay,gay,castro_res,castro,res,11/14/2025,17:04:56,0.0,1,71,gay
143,bougie,bougie,castro_res,marina,res,11/14/2025,17:04:56,1.0,2,71,gentrified
144,expressive,expressive,castro_res,castro,res,11/14/2025,17:05:35,1.0,1,72,fun
145,mellow,mellow,castro_res,marina,res,11/14/2025,17:05:35,0.0,2,72,nice
146,too_straight,straight,castro_res,marina,res,11/14/2025,17:06:53,0.0,2,73,normative
147,gay,gay,castro_res,castro,res,11/14/2025,17:06:53,0.0,1,73,gay
148,safe,safe,castro_res,castro,res,11/14/2025,17:08:50,0.0,1,74,nice
149,fun?,fun,castro_res,marina,res,11/14/2025,17:08:50,1.0,2,74,fun
150,i_cannot_find_a_word,antitask,castro_res,castro,res,11/14/2025,17:10:48,0.0,1,75,antitask
151,i_find_it_a_little_boring,boring,castro_res,marina,res,11/14/2025,17:10:48,1.0,2,75,boring
152,i_don't_really_know_the_marina_very_well,antitask,castro_res,marina,res,11/14/2025,17:10:51,0.0,2,76,antitask
153,welcoming,welcoming,castro_res,castro,res,11/14/2025,17:10:51,0.0,1,76,community
154,(hahaha)_i_don’t_know,antitask,castro_res,marina,res,11/14/2025,17:11:30,0.0,2,77,antitask
155,clean,clean,castro_res,castro,res,11/14/2025,17:11:30,0.0,1,77,nice
156,very_monolithic_over_time,monolithic,castro_res,marina,res,11/14/2025,17:12:13,1.0,2,78,other
157,changed,changed,castro_res,castro,res,11/14/2025,17:12:13,0.0,1,78,change
158,variety,variety,castro_res,castro,res,11/14/2025,17:12:17,0.0,1,79,diverse
159,blonde,blonde,castro_res,marina,res,11/14/2025,17:12:17,1.0,2,79,normative
160,good_neighbor,neighborly,marina_res,marina,res,11/17/2025,16:41:13,1.0,1,80,community
161,i_don't_hang_out_there,antitask,marina_res,castro,res,11/17/2025,16:41:13,0.0,2,80,antitask
162,gayborhood,gay,marina_res,castro,res,11/17/2025,16:44:06,0.0,2,81,gay
163,upscale,upscale,marina_res,marina,res,11/17/2025,16:44:06,0.0,1,81,gentrified
164,fun_place,fun,marina_res,marina,res,11/17/2025,16:46:08,0.0,1,82,fun
165,great_place_(ive_never_lived_there_though),great,marina_res,castro,res,11/17/2025,16:46:08,0.0,2,82,fun
166,butt_heads,buttheads,marina_res,marina,res,11/17/2025,16:49:35,0.0,1,83,bad
167,gay,gay,marina_res,castro,res,11/17/2025,16:49:35,0.0,2,83,gay
168,not_flat,hilly,marina_res,castro,res,11/17/2025,16:53:22,0.0,2,84,geography
169,flat,flat,marina_res,marina,res,11/17/2025,16:53:22,0.0,1,84,geography
170,castro_(ive_been_here_so_long_they_are_just_what_they_are_),castro,marina_res,castro,res,11/17/2025,16:59:55,0.0,2,85,geography
171,marina,marina,marina_res,marina,res,11/17/2025,16:59:55,0.0,1,85,geography
172,high_end,upscale,marina_res,marina,res,11/17/2025,17:04:07,0.0,1,86,gentrified
173,wonderful/the_gay_part,wonderful,marina_res,castro,res,11/17/2025,17:04:07,1.0,2,86,fun
174,cold,cold,marina_res,marina,res,11/17/2025,17:19:20,1.0,1,87,boring
175,fun,fun,marina_res,castro,res,11/17/2025,17:19:20,0.0,2,87,fun
176,by_the_sea,sea,marina_res,marina,res,11/17/2025,17:20:41,0.0,1,88,geography
177,at_the_base_of_the_hills,valley,marina_res,castro,res,11/17/2025,17:20:41,0.0,2,88,geography
178,finance_people,finance,marina_res,marina,res,11/17/2025,17:27:26,1.0,1,89,gentrified
179,gay_guys,gay,marina_res,castro,res,11/17/2025,17:27:26,0.0,2,89,gay
180,i_don't_want_to_answer_that,antitask,marina_res,castro,res,11/17/2025,17:29:00,0.0,2,90,antitask
181,family,family,marina_res,marina,res,11/17/2025,17:29:00,0.0,1,90,community
182,very_gay,gay,marina_res,castro,res,11/17/2025,17:30:44,0.0,2,91,gay
183,bougie,bougie,marina_res,marina,res,11/17/2025,17:30:44,0.0,1,91,gentrified
184,gay_now_families,gay,marina_res,castro,res,11/17/2025,17:32:20,1.0,2,92,gay
185,young,young,marina_res,marina,res,11/17/2025,17:32:20,0.0,1,92,young
186,homogenous,homogenous,marina_res,marina,res,11/17/2025,17:34:05,1.0,1,93,normative
187,progressive,progressive,marina_res,castro,res,11/17/2025,17:34:05,1.0,2,93,open
188,i've_never_been_there,antitask,marina_res,castro,res,11/17/2025,17:38:07,0.0,2,94,antitask
189,cosy,cosy,marina_res,marina,res,11/17/2025,17:38:07,0.0,1,94,nice
190,positive,positive,marina_res,marina,res,11/17/2025,17:39:16,0.0,1,95,nice
191,lively,lively,marina_res,castro,res,11/17/2025,17:39:16,0.0,2,95,fun
192,never_been,antitask,marina_res,castro,res,11/17/2025,17:40:51,0.0,2,96,antitask
193,lively,lively,marina_res,marina,res,11/17/2025,17:40:51,0.0,1,96,fun
194,maybe_fun,fun,marina_res,castro,res,11/17/2025,17:42:33,0.0,2,97,fun
195,fun,fun,marina_res,marina,res,11/17/2025,17:42:33,0.0,1,97,fun
196,beatiful/_young,beautiful,marina_res,marina,res,11/17/2025,17:43:47,1.0,1,98,nice
197,vibrant/_gay,vibrant,marina_res,castro,res,11/17/2025,17:43:47,1.0,2,98,fun
198,i'm_new_to_the_city,antitask,marina_res,castro,res,11/17/2025,17:45:29,0.0,2,99,antitask
199,silly,silly,marina_res,marina,res,11/17/2025,17:45:29,1.0,1,99,other
200,i_just_moved_here,antitask,marina_res,castro,res,11/17/2025,17:45:43,0.0,2,100,antitask
201,fun,fun,marina_res,marina,res,11/17/2025,17:45:43,0.0,1,100,fun
202,i've_never_been_there,antitask,marina_res,castro,res,11/17/2025,17:47:14,0.0,2,101,antitask
203,fancy,fancy,marina_res,marina,res,11/17/2025,17:47:14,0.0,1,101,gentrified
204,frat,frat,marina_res,marina,res,11/17/2025,17:47:37,0.0,1,102,other
205,fun,fun,marina_res,castro,res,11/17/2025,17:47:37,0.0,2,102,fun
206,a_harbor,harbor,marina_res,marina,res,11/17/2025,17:50:22,0.0,1,103,geography
207,neighborhood,neighborhood,marina_res,castro,res,11/17/2025,17:50:22,1.0,2,103,community
208,don't_go_enough_to_give_you_that_unfortunately,antitask,marina_res,castro,res,11/17/2025,17:53:15,0.0,2,104,antitask
209,stereotypical,stereotypical,marina_res,marina,res,11/17/2025,17:53:15,0.0,1,104,normative
210,old_and_new...._character,eclectic,marina_res,marina,res,11/17/2025,17:54:17,1.0,1,105,special
211,old_fashioned,old,marina_res,castro,res,11/17/2025,17:54:17,1.0,2,105,other
212,nice_a_little_stale_green,nice,marina_res,marina,res,11/17/2025,17:54:53,0.0,1,106,nice
213,unique_original_a_little_dirty,unique,marina_res,castro,res,11/17/2025,17:54:53,0.0,2,106,other
214,expensive,expensive,marina_res,marina,res,11/19/2025,14:47:15,0.0,1,107,gentrified
215,vibrant,vibrant,marina_res,castro,res,11/19/2025,14:47:15,1.0,2,107,fun
216,a_great_neighborhood_too,great,marina_res,castro,res,11/19/2025,14:49:30,0.0,2,108,fun
217,amazing,amazing,marina_res,marina,res,11/19/2025,14:49:30,0.0,1,108,fun
218,"gay_capital_of_the_world_(""all_in_one_word"")",gay,marina_res,castro,res,11/19/2025,14:50:12,0.0,2,109,gay
219,pretentious,pretentious,marina_res,marina,res,11/19/2025,14:50:12,0.0,1,109,gentrified
220,i_don't_think_i've_been_to_the_castro_i'm_a_visitor,antitask,marina_res,castro,res,11/19/2025,14:51:25,0.0,2,110,antitask
221,coziness,coziness,marina_res,marina,res,11/19/2025,14:51:25,0.0,1,110,nice
222,i_don't_know_i'm_sorry,antitask,marina_res,castro,res,11/19/2025,14:53:39,0.0,2,111,antitask
223,chilly,chilly,marina_res,marina,res,11/19/2025,14:53:39,1.0,1,111,weather
224,youthful,youthful,marina_res,marina,res,11/19/2025,14:53:47,1.0,1,112,young
225,changing,changing,marina_res,castro,res,11/19/2025,14:53:47,1.0,2,112,change
226,young,young,marina_res,marina,res,11/19/2025,14:54:13,0.0,1,113,young
227,gay,gay,marina_res,castro,res,11/19/2025,14:54:13,0.0,2,113,gay
228,energetic,energetic,marina_res,marina,res,11/19/2025,14:55:46,1.0,1,114,fun
229,colorful,colorful,marina_res,castro,res,11/19/2025,14:55:46,0.0,2,114,diverse
230,yuppie,yuppie,marina_res,marina,res,11/19/2025,14:56:36,0.0,1,115,other
231,gay,gay,marina_res,castro,res,11/19/2025,14:56:36,0.0,2,115,gay
232,bougie_(depends_on_who_is_asking),bougie,marina_res,marina,res,11/19/2025,14:57:16,1.0,1,116,gentrified
233,gay,gay,marina_res,castro,res,11/19/2025,14:57:16,0.0,2,116,gay
234,dog_friendly,dog,marina_res,marina,res,11/19/2025,15:01:30,0.0,1,117,institutions
235,i_don't_know,antitask,marina_res,castro,res,11/19/2025,15:01:30,0.0,2,117,antitask
236,varied,varied,marina_res,marina,res,11/19/2025,15:03:26,0.0,1,118,diverse
237,beautiful,beautiful,marina_res,castro,res,11/19/2025,15:03:26,0.0,2,118,nice
238,post-college_post-grad_school_young_professionals_turning_into_families,yuppie,marina_res,marina,res,11/19/2025,15:05:20,0.0,1,119,other
239,i_don't_know_about_that,antitask,marina_res,castro,res,11/19/2025,15:05:20,0.0,2,119,antitask
240,basic,basic,marina_res,marina,res,11/19/2025,15:07:40,0.0,1,120,normative
241,dance,dance,marina_res,castro,res,11/19/2025,15:07:40,0.0,2,120,fun
242,pretty_busy,busy,marina_res,castro,res,11/19/2025,15:08:03,0.0,2,121,chaotic
243,gorgeous,gorgeous,marina_res,marina,res,11/19/2025,15:08:03,0.0,1,121,nice
244,teaming,teaming,marina_res,marina,res,11/19/2025,15:08:45,1.0,1,122,chaotic
245,colorful,colorful,marina_res,castro,res,11/19/2025,15:08:45,0.0,2,122,diverse
246,upper_middle_class,upper_middle_class,marina_res,marina,res,11/19/2025,15:08:49,0.0,1,123,gentrified
247,gay,gay,marina_res,castro,res,11/19/2025,15:08:49,0.0,2,123,gay
248,i_don't_know_the_castro_so_well,antitask,marina_res,castro,res,11/19/2025,15:10:17,0.0,2,124,antitask
249,social,social,marina_res,marina,res,11/19/2025,15:10:17,0.0,1,124,community
250,transplant,transplant,marina_res,marina,res,11/19/2025,15:10:35,0.0,1,125,gentrified
251,colorful,colorful,marina_res,castro,res,11/19/2025,15:10:35,0.0,2,125,diverse
252,way_better,better,marina_res,castro,res,11/19/2025,15:11:20,0.0,2,126,other
253,ehhh,ehhh,marina_res,marina,res,11/19/2025,15:11:20,0.0,1,126,boring
254,energetic,energetic,marina_res,marina,res,11/19/2025,15:11:55,0.0,1,127,fun
255,vibrant,vibrant,marina_res,castro,res,11/19/2025,15:11:55,0.0,2,127,fun
256,buzzy,buzzy,marina_res,marina,res,11/19/2025,15:14:31,0.0,1,128,fun
257,spicy,spicy,marina_res,castro,res,11/19/2025,15:14:31,1.0,2,128,diverse
258,affluent,affluent,marina_res,marina,res,11/19/2025,15:15:39,0.0,1,129,gentrified
259,gay,gay,marina_res,castro,res,11/19/2025,15:15:39,1.0,2,129,gay
260,eclectic,eclectic,marina_res,marina,res,11/19/2025,15:15:41,0.0,1,130,special
261,fun,fun,marina_res,castro,res,11/19/2025,15:15:41,0.0,2,130,fun
262,terrifying,terrifying,marina_res,marina,res,11/19/2025,15:17:15,0.0,1,131,bad
263,sad,sad,marina_res,castro,res,11/19/2025,15:17:15,0.0,2,131,boring
264,active,active,marina_res,marina,res,11/19/2025,15:18:02,0.0,1,132,fun
265,friendly,friendly,marina_res,castro,res,11/19/2025,15:18:02,1.0,2,132,other
266,i_don't_usually_go_over_there_so_i'm_not_really_sure,antitask,marina_res,castro,res,11/19/2025,15:18:57,0.0,2,133,antitask
267,walkable,walkable,marina_res,marina,res,11/19/2025,15:18:57,0.0,1,133,actions
268,unhinged,unhinged,marina_res,marina,res,11/19/2025,15:20:09,0.0,1,134,chaotic
269,fun,fun,marina_res,castro,res,11/19/2025,15:20:09,0.0,2,134,fun
270,privileged,privileged,marina_res,marina,res,11/19/2025,15:20:45,0.0,1,135,gentrified
271,gay,gay,marina_res,castro,res,11/19/2025,15:20:45,0.0,2,135,gay
272,i've_never_been_there,antitask,marina_res,castro,res,11/19/2025,15:22:22,0.0,2,136,antitask
273,flat,flat,marina_res,marina,res,11/19/2025,15:22:22,0.0,1,136,geography
274,cool_(with_effect_potentially_ironic?),cool,marina_res,marina,res,11/19/2025,15:23:24,0.0,1,137,nice
275,less_cool_but_cool,cool,marina_res,castro,res,11/19/2025,15:23:24,0.0,2,137,nice
276,not_for_me,antitask,marina_res,castro,res,11/19/2025,15:24:23,0.0,2,138,antitask
277,lovely,lovely,marina_res,marina,res,11/19/2025,15:24:23,0.0,1,138,nice
278,i_haven't_been_there,antitask,marina_res,castro,res,11/19/2025,15:25:22,0.0,2,139,antitask
279,lively,lively,marina_res,marina,res,11/19/2025,15:25:22,0.0,1,139,fun
280,privileged_(derogatory),privileged,marina_res,marina,res,11/19/2025,15:25:24,0.0,1,140,gentrified
281,vibrant,vibrant,marina_res,castro,res,11/19/2025,15:25:24,0.0,2,140,fun
282,unknown_(or_halloween),antitask,marina_res,castro,res,11/19/2025,15:27:05,1.0,2,141,antitask
283,restaurants,restaurants,marina_res,marina,res,11/19/2025,15:27:05,0.0,1,141,other
284,idk_i've_never_been_there,antitask,marina_res,castro,res,11/19/2025,15:29:49,0.0,2,142,antitask
285,central,central,marina_res,marina,res,11/19/2025,15:29:49,0.0,1,142,geography
286,vibrant,vibrant,marina_res,marina,res,11/19/2025,15:30:34,0.0,1,143,fun
287,vibrant,vibrant,marina_res,castro,res,11/19/2025,15:30:34,0.0,2,143,fun
288,gay_families_restaurants_good_homes,gay,marina_res,castro,res,11/19/2025,15:31:38,0.0,2,144,gay
289,pleasant,pleasant,marina_res,marina,res,11/19/2025,15:31:38,0.0,1,144,nice
290,attractive,attractive,marina_res,marina,res,11/19/2025,15:33:04,1.0,1,145,nice
291,gay,gay,marina_res,castro,res,11/19/2025,15:33:04,0.0,2,145,gay
292,not_too_exciting._not_a_place_i'd_go_to,not_exciting,marina_res,castro,res,11/19/2025,15:37:31,0.0,2,146,boring
293,simple,simple,marina_res,marina,res,11/19/2025,15:37:31,0.0,1,146,normative
294,safe,safe,marina_res,marina,res,11/19/2025,15:38:06,0.0,1,147,nice
295,gay,gay,marina_res,castro,res,11/19/2025,15:38:06,0.0,2,147,gay
296,pretty_hip,hip,marina_res,marina,res,11/19/2025,15:39:06,0.0,1,148,gentrified
297,very_lively,lively,marina_res,castro,res,11/19/2025,15:39:06,0.0,2,148,fun
298,i've_only_driven_through_the_castro_a_couple_of_times_so_idk,antitask,marina_res,castro,res,11/19/2025,15:40:33,0.0,2,149,antitask
299,vibey,vibey,marina_res,marina,res,11/19/2025,15:40:33,0.0,1,149,nice
300,i_don't_know,antitask,marina_res,castro,res,11/19/2025,15:40:51,0.0,2,150,antitask
301,families,families,marina_res,marina,res,11/19/2025,15:40:51,0.0,1,150,community
302,in_a_bubble,bubble,marina_res,marina,res,11/19/2025,15:41:32,0.0,1,151,normative
